Frequenza_Hz;Amp_Ideale_dB;Amp_Distorta_dB;Fase_Ideale_deg;Fase_Distorta_deg;Errore_Amp_dB;Errore_Fase_deg
10.000000;-0.000510;-4.808266;-0.620665;-0.620743;-4.807756;-0.000078
10.595602;-0.000572;-4.813544;-0.657629;-0.657712;-4.812971;-0.000082
11.226678;-0.000642;-4.806992;-0.696794;-0.696881;-4.806350;-0.000087
11.895341;-0.000721;-4.806504;-0.738291;-0.738383;-4.805783;-0.000092
12.603829;-0.000810;-4.817680;-0.782258;-0.782356;-4.816870;-0.000098
13.354516;-0.000909;-4.815496;-0.828843;-0.828947;-4.814587;-0.000104
14.149913;-0.001020;-4.810383;-0.878202;-0.878312;-4.809362;-0.000110
14.992684;-0.001145;-4.812376;-0.930499;-0.930615;-4.811231;-0.000117
15.885651;-0.001286;-4.811587;-0.985909;-0.986032;-4.810301;-0.000123
16.831804;-0.001444;-4.815119;-1.044617;-1.044748;-4.813675;-0.000131
17.834309;-0.001621;-4.808976;-1.106819;-1.106958;-4.807355;-0.000139
18.896523;-0.001820;-4.809798;-1.172724;-1.172871;-4.807979;-0.000147
20.022004;-0.002043;-4.812965;-1.242550;-1.242706;-4.810922;-0.000156
21.214518;-0.002293;-4.809475;-1.316531;-1.316696;-4.807182;-0.000165
22.478058;-0.002574;-4.812534;-1.394914;-1.395089;-4.809960;-0.000175
23.816856;-0.002890;-4.818167;-1.477960;-1.478145;-4.815277;-0.000185
25.235392;-0.003244;-4.814199;-1.565945;-1.566141;-4.810955;-0.000196
26.738416;-0.003642;-4.819956;-1.659162;-1.659370;-4.816314;-0.000208
28.330961;-0.004089;-4.813815;-1.757922;-1.758142;-4.809726;-0.000220
30.018358;-0.004590;-4.812896;-1.862552;-1.862785;-4.808306;-0.000233
31.806257;-0.005153;-4.339876;-1.973401;-1.973648;-4.334723;-0.000247
33.700643;-0.005785;-3.917396;-2.090835;-2.091097;-3.911611;-0.000262
35.707860;-0.006494;-3.529189;-2.215245;-2.215523;-3.522695;-0.000278
37.834626;-0.007290;-3.188273;-2.347042;-2.347337;-3.180983;-0.000294
40.088063;-0.008183;-2.875532;-2.486662;-2.486974;-2.867349;-0.000312
42.475716;-0.009186;-2.589682;-2.634565;-2.634896;-2.580496;-0.000330
45.005577;-0.010311;-2.326288;-2.791239;-2.791589;-2.315977;-0.000350
47.686117;-0.011574;-2.087941;-2.957199;-2.957570;-2.076367;-0.000371
50.526311;-0.012992;-1.868672;-3.132990;-3.133382;-1.855680;-0.000393
53.535667;-0.014583;-1.667174;-3.319185;-3.319602;-1.652591;-0.000416
56.724261;-0.016368;-1.477291;-3.516395;-3.516835;-1.460922;-0.000441
60.102768;-0.018372;-1.312815;-3.725258;-3.725726;-1.294443;-0.000467
63.682499;-0.020620;-1.155229;-3.946454;-3.946949;-1.134608;-0.000495
67.475441;-0.023143;-1.010164;-4.180695;-4.181220;-0.987020;-0.000524
71.494290;-0.025974;-0.871973;-4.428735;-4.429291;-0.846000;-0.000556
75.752503;-0.029149;-0.746229;-4.691367;-4.691956;-0.717080;-0.000589
80.264335;-0.032711;-0.634015;-4.969426;-4.970050;-0.601304;-0.000624
85.044893;-0.036707;-0.529252;-5.263789;-5.264450;-0.492545;-0.000661
90.110183;-0.041188;-0.430872;-5.575381;-5.576082;-0.389684;-0.000700
95.477161;-0.046214;-0.336781;-5.905171;-5.905913;-0.290567;-0.000742
101.163798;-0.051849;-0.252958;-6.254174;-6.254960;-0.201109;-0.000786
107.189132;-0.058167;-0.176490;-6.623456;-6.624289;-0.118323;-0.000833
113.573336;-0.065249;-0.108576;-7.014129;-7.015012;-0.043327;-0.000883
120.337784;-0.073186;-0.042063;-7.427356;-7.428291;0.031123;-0.000935
127.505124;-0.082079;0.016451;-7.864348;-7.865339;0.098530;-0.000991
135.099352;-0.092042;0.069879;-8.326364;-8.327414;0.161921;-0.001050
143.145894;-0.103199;0.119106;-8.814709;-8.815822;0.222305;-0.001113
151.671689;-0.115691;0.160306;-9.330734;-9.331913;0.275997;-0.001179
160.705282;-0.129673;0.198719;-9.875831;-9.877080;0.328392;-0.001249
170.276917;-0.145316;0.229790;-10.451428;-10.452751;0.375106;-0.001324
180.418641;-0.162811;0.257571;-11.058986;-11.060388;0.420382;-0.001402
191.164408;-0.182369;0.280535;-11.699992;-11.701478;0.462904;-0.001486
202.550194;-0.204222;0.293278;-12.375947;-12.377522;0.497500;-0.001574
214.614120;-0.228625;0.307590;-13.088361;-13.090029;0.536215;-0.001668
227.396575;-0.255859;0.313867;-13.838733;-13.840501;0.569726;-0.001768
240.940356;-0.286231;0.314609;-14.628545;-14.630418;0.600840;-0.001873
255.290807;-0.320078;0.310764;-15.459237;-15.461221;0.630842;-0.001984
270.495973;-0.357766;0.303923;-16.332189;-16.334291;0.661688;-0.002103
286.606762;-0.399690;0.282184;-17.248698;-17.250926;0.681874;-0.002228
303.677112;-0.446280;0.262703;-18.209954;-18.212314;0.708983;-0.002360
321.764175;-0.497996;0.226840;-19.217004;-19.219505;0.724836;-0.002501
340.928507;-0.555331;0.192096;-20.270727;-20.273377;0.747428;-0.002650
361.234270;-0.618811;0.147790;-21.371793;-21.374601;0.766601;-0.002808
382.749448;-0.688989;0.095082;-22.520630;-22.523605;0.784071;-0.002975
405.546074;-0.766448;0.032973;-23.717384;-23.720536;0.799421;-0.003152
429.700470;-0.851793;-0.038535;-24.961878;-24.965218;0.813258;-0.003340
455.293507;-0.945651;-0.122616;-26.253576;-26.257115;0.823035;-0.003539
482.410870;-1.048660;-0.214929;-27.591544;-27.595294;0.833731;-0.003750
511.143348;-1.161466;-0.315088;-28.974421;-28.978394;0.846379;-0.003973
541.587138;-1.284715;-0.432247;-30.400386;-30.404596;0.852468;-0.004210
573.844165;-1.419038;-0.561820;-31.867145;-31.871605;0.857218;-0.004460
608.022426;-1.565047;-0.701430;-33.371915;-33.376641;0.863618;-0.004726
644.236351;-1.723323;-0.854252;-34.911430;-34.916437;0.869071;-0.005008
682.607183;-1.894402;-1.018022;-36.481951;-36.487257;0.876379;-0.005306
723.263390;-2.078763;-1.200422;-38.079299;-38.084921;0.878341;-0.005622
766.341087;-2.276822;-1.395306;-39.698891;-39.704847;0.881516;-0.005957
811.984499;-2.488918;-1.609541;-41.335800;-41.342112;0.879377;-0.006312
860.346442;-2.715306;-1.834663;-42.984824;-42.991512;0.880643;-0.006687
911.588830;-2.956150;-2.075485;-44.640562;-44.647648;0.880666;-0.007086
965.883224;-3.211521;-2.335724;-46.297501;-46.305008;0.875797;-0.007508
1023.411402;-3.481389;-2.606617;-47.950109;-47.958064;0.874772;-0.007955
1084.365969;-3.765633;-2.898418;-49.592925;-49.601354;0.867215;-0.008429
1148.951000;-4.064035;-3.201125;-51.220652;-51.229583;0.862909;-0.008931
1217.382728;-4.376291;-3.519614;-52.828232;-52.837695;0.856678;-0.009463
1289.890261;-4.702020;-3.855223;-54.410928;-54.420954;0.846796;-0.010026
1366.716356;-5.040766;-4.196232;-55.964377;-55.975001;0.844534;-0.010623
1448.118228;-5.392017;-4.559884;-57.484647;-57.495903;0.832134;-0.011256
1534.368409;-5.755211;-4.931206;-58.968264;-58.980190;0.824005;-0.011927
1625.755666;-6.129749;-5.314698;-60.412234;-60.424870;0.815051;-0.012637
1722.585965;-6.515004;-5.711764;-61.814051;-61.827441;0.803241;-0.013390
1825.183494;-6.910338;-6.118723;-63.171692;-63.185879;0.791615;-0.014187
1933.891750;-7.315102;-6.540455;-64.483599;-64.498631;0.774647;-0.015032
2049.074690;-7.728655;-6.970097;-65.748656;-65.764583;0.758557;-0.015927
2171.117946;-8.150364;-7.405548;-66.966159;-66.983035;0.744816;-0.016876
2300.430120;-8.579613;-7.859708;-68.135780;-68.153661;0.719905;-0.017881
2437.444150;-9.015810;-8.312160;-69.257530;-69.276476;0.703651;-0.018946
2582.618761;-9.458389;-8.772412;-70.331719;-70.351794;0.685977;-0.020075
2736.439997;-9.906810;-9.238011;-71.358917;-71.380187;0.668799;-0.021270
2899.422854;-10.360568;-9.702426;-72.339917;-72.362454;0.658142;-0.022537
3072.112999;-10.819187;-10.190391;-73.275696;-73.299576;0.628795;-0.023879
3255.088600;-11.282225;-10.670942;-74.167388;-74.192690;0.611282;-0.025302
3448.962260;-11.749271;-11.146738;-75.016245;-75.043053;0.602534;-0.026809
3654.383071;-12.219947;-11.652929;-75.823614;-75.852020;0.567018;-0.028405
3872.038782;-12.693904;-12.140391;-76.590914;-76.621011;0.553513;-0.030097
4102.658106;-13.170822;-12.655951;-77.319609;-77.351498;0.514871;-0.031890
4347.013158;-13.650408;-13.152773;-78.011192;-78.044982;0.497635;-0.033789
4605.922041;-14.132397;-13.666958;-78.667173;-78.702974;0.465439;-0.035802
4880.251584;-14.616547;-14.169497;-79.289055;-79.326989;0.447050;-0.037934
5170.920243;-15.102638;-14.666722;-79.878334;-79.918528;0.435916;-0.040193
5478.901180;-15.590470;-15.210908;-80.436483;-80.479070;0.379562;-0.042587
5805.225516;-16.079864;-15.697870;-80.964945;-81.010068;0.381994;-0.045124
6150.985789;-16.570659;-16.215887;-81.465128;-81.512939;0.354771;-0.047811
6517.339605;-17.062707;-16.744755;-81.938401;-81.989060;0.317951;-0.050659
6905.513520;-17.555877;-17.276287;-82.386090;-82.439766;0.279590;-0.053676
7316.807143;-18.050051;-17.770219;-82.809473;-82.866346;0.279831;-0.056873
7752.597489;-18.545122;-18.299308;-83.209784;-83.270044;0.245814;-0.060261
8214.343585;-19.040996;-18.804045;-83.588204;-83.652054;0.236951;-0.063850
8703.591361;-19.537587;-19.326566;-83.945870;-84.013523;0.211021;-0.067653
9221.978823;-20.034818;-19.811248;-84.283866;-84.355548;0.223570;-0.071682
9771.241535;-20.532620;-20.368739;-84.603229;-84.679180;0.163881;-0.075951
10353.218433;-21.030933;-20.905393;-84.904949;-84.985425;0.125540;-0.080475
10969.857979;-21.529702;-21.392980;-85.189970;-85.275238;0.136722;-0.085268
11623.224687;-22.028876;-21.907621;-85.459188;-85.549535;0.121256;-0.090347
12315.506033;-22.528414;-22.389786;-85.713457;-85.809185;0.138628;-0.095728
13049.019780;-23.028274;-22.917553;-85.953589;-86.055018;0.110721;-0.101429
13826.221738;-23.528423;-23.444677;-86.180353;-86.287824;0.083746;-0.107471
14649.713983;-24.028830;-23.918398;-86.394481;-86.508352;0.110432;-0.113872
15522.253574;-24.529465;-24.522968;-86.596664;-86.717318;0.006497;-0.120654
16446.761780;-25.030305;-25.014507;-86.787561;-86.915401;0.015798;-0.127840
17426.333860;-25.531327;-25.536949;-86.967792;-87.103246;-0.005622;-0.135454
18464.249429;-26.032512;-26.024108;-87.137947;-87.281469;0.008404;-0.143522
19563.983435;-26.533841;-26.578024;-87.298584;-87.450654;-0.044182;-0.152070
20729.217796;-27.035299;-26.990090;-87.450230;-87.611357;0.045209;-0.161127
21963.853724;-27.536873;-27.538196;-87.593385;-87.764109;-0.001323;-0.170724
23272.024790;-28.038549;-28.112649;-87.728520;-87.909412;-0.074101;-0.180892
24658.110758;-28.540316;-28.595329;-87.856082;-88.047748;-0.055014;-0.191666
26126.752256;-29.042164;-29.020893;-87.976493;-88.179575;0.021271;-0.203082
27682.866304;-29.544085;-29.489225;-88.090152;-88.305330;0.054860;-0.215178
29331.662784;-30.046070;-29.910053;-88.197436;-88.425430;0.136017;-0.227994
31078.661878;-30.548113;-30.339117;-88.298700;-88.540274;0.208997;-0.241573
32929.712551;-31.050208;-31.020306;-88.394283;-88.650244;0.029902;-0.255961
