Frequenza_Hz;Amp_Ideale_dB;Amp_Distorta_dB;Fase_Ideale_deg;Fase_Distorta_deg;Errore_Amp_dB;Errore_Fase_deg
10.000000;-77.675133;-76.402842;89.992512;89.992434;1.272291;-0.000078
10.595602;-77.172620;-74.875495;89.992066;89.991984;2.297125;-0.000082
11.226678;-76.670107;-71.310118;89.991593;89.991506;5.359989;-0.000087
11.895341;-76.167593;-69.775617;89.991093;89.991000;6.391976;-0.000092
12.603829;-75.665080;-68.110470;89.990562;89.990464;7.554610;-0.000098
13.354516;-75.162567;-72.947680;89.990000;89.989896;2.214887;-0.000104
14.149913;-74.660054;-77.186497;89.989405;89.989295;-2.526443;-0.000110
14.992684;-74.157540;-89.483349;89.988773;89.988657;-15.325808;-0.000117
15.885651;-73.655027;-78.776519;89.988105;89.987981;-5.121492;-0.000123
16.831804;-73.152513;-81.226553;89.987396;89.987265;-8.074040;-0.000131
17.834309;-72.650000;-69.024679;89.986646;89.986507;3.625321;-0.000139
18.896523;-72.147486;-69.463401;89.985850;89.985703;2.684084;-0.000147
20.022004;-71.644972;-75.551465;89.985008;89.984852;-3.906494;-0.000156
21.214518;-71.142458;-67.108411;89.984115;89.983950;4.034046;-0.000165
22.478058;-70.639943;-70.881963;89.983168;89.982994;-0.242020;-0.000175
23.816856;-70.137428;-88.884239;89.982166;89.981981;-18.746810;-0.000185
25.235392;-69.634914;-71.004270;89.981104;89.980908;-1.369357;-0.000196
26.738416;-69.132398;-88.194540;89.979978;89.979770;-19.062142;-0.000208
28.330961;-68.629883;-67.283196;89.978786;89.978565;1.346687;-0.000220
30.018358;-68.127367;-73.429975;89.977522;89.977289;-5.302608;-0.000233
31.806257;-67.624851;-73.715740;89.976183;89.975936;-6.090889;-0.000247
33.700643;-67.122334;-79.126339;89.974765;89.974503;-12.004005;-0.000262
35.707860;-66.619817;-64.200292;89.973262;89.972984;2.419525;-0.000278
37.834626;-66.117299;-70.336178;89.971669;89.971375;-4.218879;-0.000294
40.088063;-65.614781;-71.386064;89.969982;89.969670;-5.771284;-0.000312
42.475716;-65.112261;-69.776862;89.968194;89.967864;-4.664601;-0.000330
45.005577;-64.609741;-64.678901;89.966300;89.965950;-0.069160;-0.000350
47.686117;-64.107220;-64.701403;89.964292;89.963922;-0.594183;-0.000371
50.526311;-63.604699;-63.925034;89.962166;89.961773;-0.320335;-0.000393
53.535667;-63.102175;-63.272577;89.959912;89.959496;-0.170402;-0.000416
56.724261;-62.599651;-58.698967;89.957524;89.957083;3.900684;-0.000441
60.102768;-62.097125;-64.803383;89.954994;89.954527;-2.706258;-0.000467
63.682499;-61.594598;-64.402146;89.952314;89.951819;-2.807548;-0.000495
67.475441;-61.092069;-64.673751;89.949473;89.948949;-3.581682;-0.000524
71.494290;-60.589537;-59.986865;89.946464;89.945908;0.602672;-0.000556
75.752503;-60.087004;-58.463225;89.943275;89.942686;1.623779;-0.000589
80.264335;-59.584468;-60.442031;89.939897;89.939273;-0.857564;-0.000624
85.044893;-59.081928;-61.510220;89.936317;89.935656;-2.428292;-0.000661
90.110183;-58.579386;-60.722878;89.932523;89.931823;-2.143492;-0.000700
95.477161;-58.076840;-57.270482;89.928504;89.927762;0.806359;-0.000742
101.163798;-57.574290;-56.609628;89.924246;89.923459;0.964662;-0.000786
107.189132;-57.071735;-56.377070;89.919733;89.918900;0.694666;-0.000833
113.573336;-56.569176;-57.648924;89.914952;89.914069;-1.079749;-0.000883
120.337784;-56.066610;-55.722319;89.909886;89.908951;0.344291;-0.000935
127.505124;-55.564038;-55.316712;89.904518;89.903527;0.247326;-0.000991
135.099352;-55.061458;-54.639954;89.898830;89.897780;0.421504;-0.001050
143.145894;-54.558871;-53.404429;89.892804;89.891691;1.154442;-0.001113
151.671689;-54.056274;-53.546660;89.886418;89.885239;0.509614;-0.001179
160.705282;-53.553666;-52.575792;89.879652;89.878403;0.977874;-0.001249
170.276917;-53.051048;-52.613163;89.872482;89.871159;0.437884;-0.001324
180.418641;-52.548416;-51.878610;89.864885;89.863483;0.669806;-0.001402
191.164408;-52.045769;-51.078950;89.856836;89.855350;0.966819;-0.001486
202.550194;-51.543106;-52.251057;89.848306;89.846732;-0.707951;-0.001574
214.614120;-51.040425;-50.739325;89.839268;89.837600;0.301100;-0.001668
227.396575;-50.537723;-50.294894;89.829691;89.827924;0.242828;-0.001768
240.940356;-50.034997;-49.853833;89.819543;89.817670;0.181165;-0.001873
255.290807;-49.532246;-49.068920;89.808790;89.806805;0.463326;-0.001984
270.495973;-49.029465;-47.559072;89.797395;89.795292;1.470392;-0.002103
286.606762;-48.526651;-48.319605;89.785320;89.783092;0.207047;-0.002228
303.677112;-48.023800;-46.841884;89.772525;89.770164;1.181916;-0.002360
321.764175;-47.520908;-47.630448;89.758966;89.756465;-0.109540;-0.002501
340.928507;-47.017969;-46.420807;89.744597;89.741947;0.597162;-0.002650
361.234270;-46.514978;-45.680489;89.729370;89.726563;0.834489;-0.002808
382.749448;-46.011928;-44.999752;89.713234;89.710259;1.012176;-0.002975
405.546074;-45.508813;-44.449262;89.696133;89.692980;1.059551;-0.003152
429.700470;-45.005623;-43.919284;89.678009;89.674669;1.086338;-0.003340
455.293507;-44.502350;-43.794979;89.658801;89.655262;0.707371;-0.003539
482.410870;-43.998983;-43.309963;89.638443;89.634694;0.689021;-0.003750
511.143348;-43.495512;-42.401872;89.616866;89.612893;1.093641;-0.003973
541.587138;-42.991923;-42.192323;89.593996;89.589786;0.799600;-0.004210
573.844165;-42.488202;-41.968744;89.569754;89.565294;0.519459;-0.004460
608.022426;-41.984333;-41.402553;89.544057;89.539331;0.581780;-0.004726
644.236351;-41.480297;-40.825866;89.516816;89.511808;0.654431;-0.005008
682.607183;-40.976073;-39.992370;89.487935;89.482630;0.983703;-0.005306
723.263390;-40.471640;-39.564190;89.457316;89.451694;0.907449;-0.005622
